許可證字號,類別,中文品名,核可日期,申請商,證況,保健功效相關成分,保健功效,保健功效宣稱,警語,注意事項,網址
衛部健食字第A00266號,衛署健食字,李時珍四物大補帖(飲品),2014/12/09,中天生物科技股份有限公司,核可,甘胺酸亞鐵含量 42±8 毫克/瓶,促進鐵吸收,經動物實驗結果：有助於促進鐵吸收。,1.孕婦或接受醫師治療者，請與醫師商討後再飲用。2.若正值月經期間請暫停飲用,1.本品如有沉澱，請搖勻後飲用。2.本產品非屬藥品，不具醫療效能。3.本產品供保健用，請依建議攝取量食用,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=289
衛部健食字第A00267號,衛署健食字,歐典生機養生黑木耳,2014/12/19,歐典生物科技股份有限公司,核可,總膳食纖維,胃腸功能改善,「經動物實驗結果：有助於促進腸道運動。」,1.適用對象不包括兒童(內有固形物，請細嚼慢嚥)。2.食用本產品後若有產生排氣及脹氣現象時，如有不適者，請停止飲用。3.玻璃瓶請勿微波加熱。4.運送過程可能造成玻璃瓶破損，飲用前若有發現破瓶或瓶蓋凸起，請勿飲用，並與店家更換。,1.冷熱皆宜，內含果肉籽，沉澱屬於自然現象，食用前請搖一搖後飲用。2.均衡飲食及適當運動為身體健康之基礎。3.本產品供保健用，請依建議攝取量食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=288
衛部健食字第A00268號,衛署健食字,深海魚油薑黃+E膠囊,2017/08/06,國家級生醫科技股份有限公司,核可,Omega-3 acids,調節血脂,「經人體食用研究結果證實，有助於降低血中三酸甘油酯。」,正在服用抗凝血劑者，例如：阿斯匹靈．．．等凝血功能不全者及嬰幼兒、孕婦或糖尿病患者，食用前請先徵詢醫師意見。,1. 請徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。2. 本產品非藥品，供保健用，罹病者仍需就醫。3. 請依建議攝取量食用，勿過量。4. 多食或過量無益。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=296
衛部健食字第A00269號,衛署健食字,草本複方膠囊,2015/01/31,中天生物科技股份有限公司,核可,Curcumin（薑黃素）26.0 ± 5.2 mg/g Daidzein（大豆苷元）107.9 ± 21.6 μg/g,護肝,根據動物試驗結果，對四氯化碳誘發之大鼠肝臟損傷：(1)有助於降低血漿中GOT (AST)及GPT(ALT)值；(2)有助於增加血漿中白蛋白含量。,1.GOT(AST)、GPT(ALT)值持續異常升高可能是肝臟疾病所引起，應立即就醫。2.嬰幼兒、孕婦、餵哺母乳者，如欲食用本產品，請洽醫師或醫療傳業人員。,1.請洽詢醫師或營養師有關食用本品之意見。2.本產品非藥品，供保健用，罹病者仍需就醫。3.避免孩童自行取用，請放置兒童不易取得處。4.本產品非藥品，供保健用，罹病者仍需就醫。5.請依建議攝取量食用，勿過量。6.食用過量可能有安全疑慮。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=290
衛部健食字第A00270號,衛署健食字,活源蔘膠囊,2015/04/14,創益生技股份有限公司,核可,"總人蔘配醣體 (Total Ginsenosides,以Re、Rb1、Rc、Rd總和計算)",抗疲勞,經人體食用研究結果，可加速運動後恢復期血乳酸及血氨濃度下降，有助於增進運動後疲勞的消除。,如有不適產生應立即停止食用並就醫。病患服藥期間不建議同時食用本產品。,(1)請洽詢醫師或營養師有關食用本品的意見，均衡的飲食及適當運動是身體健康的基礎。(2)本產品非藥品，供保健用，罹病者仍需就醫。(3)請依建議攝取量食用，勿過量。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=293
衛部健食字第A00271號,衛署健食字,舒敏佳膠囊,2015/04/17,創益生技股份有限公司,核可,總活性乳酸菌,輔助調整過敏體質,經動物實驗結果:1.有助於降低過敏反應IgE抗體之生成。 2.有助於緩解呼吸道的過度反應。3.有助於調節Th1/Th2細胞激素。,有免疫相關疾病者請先諮詢醫師後謹慎食用。,(1)本產品非藥品，供保健用，罹病者仍需就醫。(2)請依建議攝取量食用，勿過量。(3)幼兒及孕婦食用前請先諮詢專業醫師。(4)若無法直接吞食，請打開膠囊搭配冷水、果汁或飲品食用。(5)本產品含有牛奶、大豆及其製品。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=294
衛部健食字第A00272號,衛署健食字,長庚冬蟲夏草菌絲體膠囊,2015/04/17,長庚生物科技股份有限公司,核可,Adenosine（腺苷）,抗疲勞,經動物實驗結果：1.有助於提高肝醣濃度並增加運動耐力。2.有助於延緩疲勞發生。,本產品發酵培養基含大豆成分，過敏體質者，請諮詢醫師或醫療專業人員。,1.本產品非藥品，供保健用，罹病者仍需就醫。2.均衡飲食及適當運動為身體健康之基礎。3.包裝如有破損或封裝不良，請勿食用。4.請直接吞食膠囊，勿嚼碎或浸泡。5.請依建議攝取量食用，勿過量。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=292
衛部健食字第A00273號,衛署健食字,健護牛乳,2015/04/14,愛之味股份有限公司,核可,每100 mL含半乳寡糖1.12 ~1.68 g,免疫調節,經動物實驗結果：(一) 有助於促進免疫細胞之增生能力。(二) 有助於促進吞噬細胞活性。(三) 有助於促進自然殺手細胞活性之能力。(四) 有助於調節細胞激素分泌。(五) 有助於增加血清中抗體之含量。,有乳糖不耐症者，應避免飲用。有過敏體質或自體免疫疾病者，請洽詢醫師意見小心使用。,請洽詢醫師或營養師有關飲用本產品之意見；均衡的飲食及適當的運動為身體健康之基礎；健康食品不具治療、矯正人類疾病之醫療效能；本產品供保健用，請依建議攝取量食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=298
衛部健食字第A00274號,衛署健食字,優青素膠原藤黃果膠囊,2015/05/14,臺鹽實業股份有限公司,核可,綠原酸(Chlorogenic acid)羥基檸檬酸(Hydroxycitric acid),不易形成體脂肪,經動物實驗結果：有助於不易形成體脂肪。在嚴謹的營養均衡與熱量控制，以及適當的運動條件下，適量攝取本產品有助於不易形成體脂肪。,1.12歲以下孩童、孕婦、消化不良與重大疾病患者不宜食用。2.如出現消化道不適、頭痛、頭暈、口乾、噁心、出汗等不適症狀，應停止使用病就醫。3.本品可能增加或減少CYP2B6代謝之藥物濃度，倘使用相關藥物者，建議諮詢醫師、藥師或營養師有關食用本品之意見。4.患有躁症、思爵失調症或肝移植等情況者，請勿食用。,1.請徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。2.本產品非藥品，供保健用，罹病者仍需就醫。3.請依建議攝取量食用，勿過量。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=300
衛部健食字第A00275號,衛署健食字,優生牛樟芝固態培養菌絲體膠囊,2015/07/01,優生生物科技股份有限公司,核可,每份(一粒)膠囊含粗三帖烯6.32~9.48 毫克、Adenosine0.20~0.30 毫克,護肝,根據動物試驗結果對四氯化碳誘發大鼠肝臟的損傷具有下列功效:有助於降低血清AST(GOT)、ALT(GPT)值,1. AST(GOT)、ALT(GPT)值持續異常升高可能是肝臟疾病所引起，應立即就醫。2. 本產品不能取代常規醫療，服用前先諮詢醫師意見。3. 嬰幼兒、孕婦、哺餵母乳者，如欲食用本產品，請洽詢醫師或醫療專業人員。,1.懷孕婦女不宜食用2.目前接受醫師治療者，請與醫師商量後再食用3.本產品不能治療矯正任何疾病，有病者仍需就醫4.避免孩童自行取用5.食用過量可能有安全疑慮6.均衡飲食及適當運動，為身體健康之基礎,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1466
衛部健食字第A00276號,衛署健食字,海礦1400,2015/04/28,台灣海洋深層水股份有限公司,核可,鎂,調節血脂,經人體食用研究結果，有助於降低血液中總膽固醇。,腎功能不佳者，請遵循醫師指示飲用。,本品飲用若有身體不適者，請先停止飲用且諮詢專科醫師；除腎功能受損及腎心疾病外，服用慢性病藥物者亦應請教醫師；本品為健康食品不能取代正規醫療及相關藥品；均衡的飲食及適當運動為身體健康之基礎；本產品供保健用，請依建議攝取量食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=297
衛部健食字第A00277號,衛署健食字,舒敏靈芝王靈芝菌絲體膠囊,2015/07/06,葡萄王生技股份有限公司,核可,靈芝多醣60~90 mg/粒。,輔助調整過敏體質,經動物實驗結果：1.有助於降低過敏反應相關細胞激素IL-4、IL-5分泌量。2.有助於抑制過敏免疫反應的特異性IgG1抗體生成。,(1)本產品含大豆及麩質之穀物製品，有過敏體質或自體免疫疾病者，請洽詢醫師意見小心使用。(2)多食無益。,(1)請洽詢醫師或營養師有關食用本品之意見，均衡的飲食及適當之運動為身體健康之基礎。(2)本產品非藥品，供保健用，罹病者仍需就醫。(3)請依建議攝取量食用，勿過量。(4)本產品不能取代正規醫療及相關藥品。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=305
衛部健食字第A00278號,衛署健食字,天恩牛樟芝固態培養菌絲體膠囊,2015/06/18,天恩生物科技有限公司,核可,可能總三萜及腺苷,護肝功能,「根據動物試驗結果顯示，對四氯化碳誘發大鼠肝臟之損傷：有助於降低血清中AST (GOT)與ALT (GPT)。」,1. ALT(GPT)、AST(GOT)值持續異常升高可能是肝臟疾病所 引起，應立即就醫。2.小孩及孕婦請洽詢醫師或營養師有關食用本產品之意見。,1.目前接受醫師治療者，請與醫師商量後再食用。2.本產品不能治療矯正任何疾病，有病者仍需就醫。3.避免孩童自行取用。4.食用過量可能有安全疑慮。5.均衡飲食及適當運動，為身體健康之基礎。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=301
衛部健食字第A00279號(本證失效),衛署健食字,雙暢優高品質機能優酪乳 低脂原味,2015/08/22,味全食品工業股份有限公司,失效,Lactobacillus paracasei NTU101 乳酸菌,調節血脂,「經動物實驗證實：(1)有助於降低血中總膽固醇。(2)有助於增加血中高密度脂蛋白膽固醇。」,,(1)本產品不是藥品，為日常保健之用，請洽詢醫師或營養師有關食用本品之意見，均衡的飲食及適當的運動為身體健康的基礎。(2)請依建議攝食量食用，多食無益。(3)過敏源資訊：本產品含牛奶及小麥可能導致過敏症狀，對牛奶、麩質穀物及其製品過敏者不宜使用。(4)有乳糖不耐症者，食用前請先洽詢醫生或營養師之意見。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=307
衛部健食字第A00280號,衛署健食字,萃益敏益生菌,2015/08/28,長行生物科技股份有限公司,核可,品管指標成分：總乳酸菌(L. paracasei、L. acidophilus、L. rhamnosus、B. longum) 2×10^9 CFU/2 g (每包)以上,"輔助調整過敏體質, 胃腸功能改善",(一)胃腸功能改善經動物實驗結果:有助於增加腸內益生菌(二)輔助調整過敏體質經動物實驗結果:1.有助於降低過敏反應相關之激素IL-4及IL-5分泌。2.有助於降低過敏反應相關之抗體IgE及IgG1分泌,1.有免疫相關疾病者，請謹慎食用並諮詢醫師的意見。2.本產品含有牛奶及蝦蟹類取製得之N乙醯基D葡萄糖胺。3.本產品含難消化性麥芽糊精，食用後可能產生排氣與脹氣現象，若有不適者，請停止使用。,請洽詢醫師或營養師有關食用本品之意見，均衡的飲食及適當的運動為身體健康之基礎。本產品供保健用，請依建議攝取量食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=309
衛部健食字第A00289號,衛署健食字,娘家大紅麴膠囊,2015/12/02,晨暉生物科技股份有限公司,核可,Monascin2.84 – 4.20 毫克/粒Ankaflavin1.28 – 1.92 毫克/粒,"調節血脂, 調節血糖, 延緩衰老",(一)調節血脂：經動物實驗結果：1.有助於降低血清中總膽固醇2.有助於降低血清中三酸甘油酯3.有助於提升血中HDL及降低LDL(二)調節血糖：根據動物實驗結果：對禁食血糖偏高者具有輔助調節血糖作用(三)延緩衰老：經誘導型老化動物實驗模式結果，本產品有助於延緩衰老之功效,1.藥物治療者，服藥前請先與醫師討論2.衛福部提醒「本品與降血脂藥(statin及fibrate類藥物)、葡萄柚合併使用，恐會造成肝、腎損傷、橫紋肌溶解症。」3.服用具抗凝血作用之中西藥品者不宜食用4.患有嚴重疾病、感染症、肝病或經外科手術等情況者請勿食用5.生理期、懷孕及授乳期間請依照醫師指示食用6.是否適用於膽固醇及血糖之控制，應先徵詢醫師7.本產品不應替代藥品使用8.若身體出現不適請先停止食用9.不宜多食,1.請徵詢醫師、藥師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎2.本產品非藥品，供保健用，罹病者仍需就醫3.請依建議攝取量食用，勿過量4.本產品請放置陰涼、乾燥處保存，並避免幼兒自行食用,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=322
衛部健食字第A00290號,衛署健食字,燕麥高纖無加糖鮮豆漿,2015/11/10,光泉牧場股份有限公司,核可,黃豆蛋白、膳食纖維(菊苣纖維),"調節血脂功能, 胃腸功能改善",(一)調節血脂經動物實驗結果：1.有助於降低血清總膽固醇。2.有助於降低血清三酸甘油酯。(二)胃腸功能改善經動物實驗結果：有助於增加腸內益生菌。,1.請洽詢醫師或營養師有關食用本品之意見，均衡的飲食及適當的運動為身體健康的基礎。2.本產品供保健用，請依建議攝取量食用。,1.產品含有菊苣纖維，飲用後可能會促進腸道蠕動、並產生脹氣及排氣等現象，若有不適者請停止飲用。2.痛風及腎臟病人請洽詢醫師或營養師有關食用本品之意見。3.本產品含燕麥與大豆，對其過敏者不宜飲用。該產線亦生產含芒果、花生、芝麻、牛奶、蛋、堅果類、含麩質之穀物及大豆製品。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=314
